======RHFedMTL====== 
Accuracy 	 Resource 
0.6866666666666666 	 [200] 
0.7333333333333334 	 [400] 
0.7266666666666667 	 [600] 
0.74 	 [800] 
0.74 	 [1000] 
0.76 	 [1200] 
0.7466666666666667 	 [1400] 
0.72 	 [1600] 
0.7333333333333334 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6799999999999999 	 200 
0.7 	 400 
0.68 	 600 
0.6733333333333333 	 800 
0.7066666666666667 	 1000 
0.6733333333333333 	 1200 
0.7133333333333334 	 1400 
0.7 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.4866666666666667 	 200 
0.4933333333333334 	 400 
0.5466666666666666 	 600 
0.58 	 800 
0.5800000000000001 	 1000 
0.6133333333333333 	 1200 
0.5866666666666667 	 1400 
0.6 	 1600 
