======RHFedMTL====== 
Accuracy 	 Resource 
0.7333333333333333 	 [200] 
0.7133333333333334 	 [400] 
0.74 	 [600] 
0.72 	 [800] 
0.7133333333333333 	 [1000] 
0.7333333333333334 	 [1200] 
0.7666666666666667 	 [1400] 
0.7333333333333334 	 [1600] 
0.7333333333333334 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6599999999999999 	 200 
0.6733333333333333 	 400 
0.6866666666666666 	 600 
0.68 	 800 
0.7266666666666667 	 1000 
0.6933333333333334 	 1200 
0.6666666666666667 	 1400 
0.6933333333333334 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5333333333333334 	 200 
0.6 	 400 
0.5666666666666667 	 600 
0.5733333333333334 	 800 
0.5133333333333334 	 1000 
0.5866666666666667 	 1200 
0.5133333333333334 	 1400 
0.5333333333333334 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.5133333333333333 	 200 
0.5 	 400 
0.5466666666666666 	 600 
0.5333333333333334 	 800 
0.5066666666666666 	 1000 
0.54 	 1200 
0.6 	 1400 
0.5466666666666667 	 1600 
======FedEM====== 
Accuracy 	 Resource 
0.0 	 0 
0.56 	 200 
0.56 	 400 
0.56 	 600 
0.5066666666666666 	 800 
0.5066666666666666 	 1000 
0.5066666666666666 	 1200 
0.5533333333333333 	 1400 
0.5533333333333333 	 1600 

