======RHFedMTL====== 
Accuracy 	 Resource 
0.6533333333333333 	 [200] 
0.6933333333333334 	 [400] 
0.6799999999999999 	 [600] 
0.74 	 [800] 
0.7266666666666667 	 [1000] 
0.7133333333333334 	 [1200] 
0.7266666666666667 	 [1400] 
0.7066666666666667 	 [1600] 
0.7 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6533333333333333 	 200 
0.6733333333333333 	 400 
0.7266666666666667 	 600 
0.7066666666666667 	 800 
0.7066666666666667 	 1000 
0.72 	 1200 
0.6733333333333333 	 1400 
0.72 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.4866666666666666 	 200 
0.5266666666666666 	 400 
0.5466666666666666 	 600 
0.5866666666666667 	 800 
0.5733333333333334 	 1000 
0.5466666666666666 	 1200 
0.5933333333333334 	 1400 
0.5933333333333334 	 1600 
