======RHFedMTL====== 
Accuracy 	 Resource 
0.6 	 [200] 
0.63125 	 [400] 
0.63125 	 [600] 
0.60625 	 [800] 
0.63125 	 [1000] 
0.675 	 [1200] 
0.6125 	 [1400] 
0.65625 	 [1600] 
0.68125 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6 	 200 
0.5875 	 400 
0.61875 	 600 
0.60625 	 800 
0.59375 	 1000 
0.58125 	 1200 
0.5875 	 1400 
0.59375 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5125000000000001 	 200 
0.51875 	 400 
0.575 	 600 
0.6 	 800 
0.5625 	 1000 
0.55625 	 1200 
0.58125 	 1400 
0.6375 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.56875 	 200 
0.50625 	 400 
0.56875 	 600 
0.575 	 800 
0.5562499999999999 	 1000 
0.6 	 1200 
0.6375 	 1400 
0.60625 	 1600 
======FedEM====== 
Accuracy 	 Resource 
0.0 	 0 
0.525 	 200 
0.525 	 400 
0.525 	 600 
0.525 	 800 
0.525 	 1000 
0.5687500000000001 	 1200 
0.5687500000000001 	 1400 
0.5687500000000001 	 1600 
