======RHFedMTL====== 
Accuracy 	 Resource 
0.7666666666666667 	 [200] 
0.6866666666666666 	 [400] 
0.6933333333333334 	 [600] 
0.74 	 [800] 
0.7 	 [1000] 
0.6933333333333334 	 [1200] 
0.7 	 [1400] 
0.6866666666666668 	 [1600] 
0.72 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6799999999999999 	 200 
0.6933333333333334 	 400 
0.74 	 600 
0.6666666666666667 	 800 
0.6866666666666666 	 1000 
0.7000000000000001 	 1200 
0.6733333333333333 	 1400 
0.7133333333333334 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5266666666666666 	 200 
0.5066666666666667 	 400 
0.58 	 600 
0.6066666666666667 	 800 
0.5266666666666667 	 1000 
0.5066666666666666 	 1200 
0.5533333333333335 	 1400 
0.6066666666666667 	 1600 
