======RHFedMTL====== 
Accuracy 	 Resource 
0.65 	 [200] 
0.6833333333333333 	 [400] 
0.6722222222222223 	 [600] 
0.7055555555555555 	 [800] 
0.6666666666666667 	 [1000] 
0.7055555555555555 	 [1200] 
0.7222222222222222 	 [1400] 
0.6722222222222223 	 [1600] 
0.6777777777777778 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6555555555555556 	 200 
0.6722222222222223 	 400 
0.6666666666666666 	 600 
0.6888888888888889 	 800 
0.6722222222222223 	 1000 
0.6666666666666667 	 1200 
0.6722222222222223 	 1400 
0.6555555555555556 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5666666666666667 	 200 
0.5722222222222222 	 400 
0.5888888888888889 	 600 
0.6444444444444445 	 800 
0.5888888888888888 	 1000 
0.5888888888888889 	 1200 
0.611111111111111 	 1400 
0.6166666666666667 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.5555555555555556 	 200 
0.6222222222222222 	 400 
0.5833333333333333 	 600 
0.6166666666666667 	 800 
0.6333333333333333 	 1000 
0.6166666666666667 	 1200 
0.6111111111111112 	 1400 
0.6388888888888888 	 1600 
