======RHFedMTL====== 
Accuracy 	 Resource 
0.7066666666666667 	 [200] 
0.6866666666666666 	 [400] 
0.7333333333333334 	 [600] 
0.7466666666666666 	 [800] 
0.7333333333333333 	 [1000] 
0.7733333333333333 	 [1200] 
0.76 	 [1400] 
0.7333333333333334 	 [1600] 
0.72 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6799999999999999 	 200 
0.7266666666666667 	 400 
0.7066666666666667 	 600 
0.6733333333333333 	 800 
0.68 	 1000 
0.7 	 1200 
0.74 	 1400 
0.6933333333333334 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5533333333333333 	 200 
0.58 	 400 
0.58 	 600 
0.58 	 800 
0.58 	 1000 
0.5733333333333334 	 1200 
0.6066666666666667 	 1400 
0.5599999999999999 	 1600 
