======RHFedMTL====== 
Accuracy 	 Resource 
0.7266666666666667 	 [200] 
0.6866666666666666 	 [400] 
0.6799999999999999 	 [600] 
0.7066666666666667 	 [800] 
0.7333333333333334 	 [1000] 
0.7000000000000001 	 [1200] 
0.7066666666666667 	 [1400] 
0.6933333333333334 	 [1600] 
0.72 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6066666666666667 	 200 
0.68 	 400 
0.6866666666666666 	 600 
0.6533333333333333 	 800 
0.72 	 1000 
0.7466666666666667 	 1200 
0.6866666666666666 	 1400 
0.72 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5666666666666667 	 200 
0.5133333333333334 	 400 
0.5333333333333333 	 600 
0.6066666666666667 	 800 
0.5599999999999999 	 1000 
0.6333333333333333 	 1200 
0.5933333333333334 	 1400 
0.62 	 1600 
