======RHFedMTL====== 
Accuracy 	 Resource 
0.66 	 [200] 
0.7266666666666667 	 [400] 
0.72 	 [600] 
0.7 	 [800] 
0.74 	 [1000] 
0.7266666666666667 	 [1200] 
0.72 	 [1400] 
0.6733333333333333 	 [1600] 
0.72 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.7066666666666667 	 200 
0.6933333333333334 	 400 
0.7266666666666667 	 600 
0.7333333333333334 	 800 
0.7 	 1000 
0.7133333333333334 	 1200 
0.7000000000000001 	 1400 
0.6933333333333334 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.4066666666666666 	 200 
0.48 	 400 
0.5866666666666667 	 600 
0.5866666666666667 	 800 
0.6333333333333333 	 1000 
0.6066666666666667 	 1200 
0.5599999999999999 	 1400 
0.5599999999999999 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.5199999999999999 	 200 
0.5266666666666666 	 400 
0.4866666666666667 	 600 
0.52 	 800 
0.5599999999999999 	 1000 
0.6133333333333334 	 1200 
0.6533333333333333 	 1400 
0.6 	 1600 
======FedEM====== 
Accuracy 	 Resource 
0.0 	 0 
0.4733333333333334 	 200 
0.4733333333333334 	 400 
0.4733333333333334 	 600 
0.4733333333333334 	 800 
0.4733333333333334 	 1000 
0.4733333333333334 	 1200 
0.5733333333333334 	 1400 
0.5733333333333334 	 1600 
