======RHFedMTL====== 
Accuracy 	 Resource 
0.6666666666666666 	 [200] 
0.7333333333333333 	 [400] 
0.7 	 [600] 
0.7133333333333334 	 [800] 
0.74 	 [1000] 
0.7533333333333333 	 [1200] 
0.7333333333333333 	 [1400] 
0.7333333333333333 	 [1600] 
0.7133333333333334 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.6933333333333334 	 200 
0.6733333333333333 	 400 
0.6733333333333333 	 600 
0.6933333333333334 	 800 
0.72 	 1000 
0.7066666666666667 	 1200 
0.6666666666666667 	 1400 
0.7 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5933333333333333 	 200 
0.62 	 400 
0.6266666666666666 	 600 
0.5933333333333333 	 800 
0.6466666666666667 	 1000 
0.6733333333333333 	 1200 
0.6799999999999999 	 1400 
0.6733333333333333 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.5933333333333334 	 200 
0.6133333333333333 	 400 
0.62 	 600 
0.64 	 800 
0.6666666666666666 	 1000 
0.68 	 1200 
0.72 	 1400 
0.64 	 1600 
