======RHFedMTL====== 
Accuracy 	 Resource 
0.7 	 [200] 
0.74 	 [400] 
0.7333333333333334 	 [600] 
0.7466666666666667 	 [800] 
0.6866666666666666 	 [1000] 
0.7533333333333334 	 [1200] 
0.7466666666666667 	 [1400] 
0.72 	 [1600] 
0.76 	 [1800] 
======HFedMTL====== 
Accuracy 	 Resource 
0.0 	 0 
0.7066666666666667 	 200 
0.7 	 400 
0.6666666666666666 	 600 
0.6866666666666666 	 800 
0.7133333333333334 	 1000 
0.6866666666666666 	 1200 
0.7133333333333334 	 1400 
0.7066666666666667 	 1600 
======FedAVG====== 
Accuracy 	 Resource 
0.0 	 0 
0.5 	 200 
0.54 	 400 
0.5266666666666666 	 600 
0.5533333333333333 	 800 
0.6 	 1000 
0.5933333333333334 	 1200 
0.6066666666666667 	 1400 
0.6466666666666666 	 1600 
======FedProx====== 
Accuracy 	 Resource 
0.0 	 0 
0.5266666666666666 	 200 
0.5133333333333333 	 400 
0.5533333333333333 	 600 
0.5533333333333333 	 800 
0.58 	 1000 
0.5733333333333334 	 1200 
0.6533333333333333 	 1400 
0.6266666666666667 	 1600 
======FedEM====== 
Accuracy 	 Resource 
0.0 	 0 
0.5933333333333334 	 200 
0.5933333333333334 	 400 
0.5933333333333334 	 600 
0.5133333333333333 	 800 
0.5133333333333333 	 1000 
0.5133333333333333 	 1200 
0.6266666666666667 	 1400 
0.6266666666666667 	 1600 
